Nominated By,Name,URL,Description,quality dimension it asseses or improves,,,applies to (software tier),,,How to use,,,programming languages it applies to,Free/Paid/Freemium,License,"Used by - choose from (ESCAPE, PANOSC, SSHOC, EOSC-Life, ENVRI-FAIR)",The tool/service can evaluate or measure software quality,,,,,,,,,,,,,,,,,,,,,,,Which aspects
,,,,FAIRness,"Sustainability - Choose between (Functional sustainability, Reproducibility, Long-term usability, Portability, Maintainability, Documentation, Usability, Code analysis, Security, Community, Resource efficiency)",Open,analysis code,prototype tools,research infrastructure software,command-line,CI/CD,online service,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,howfairis,https://github.com/fair-software/howfairis,Command line tool to analyze a GitHub or GitLab repository's compliance with the fair-software.eu recommendations,x,,,,x,x,x,x,,,free,Apache-2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,tortellini-action,https://github.com/marketplace/actions/tortellini-action,Github action to run licence analysis on a github repository,,,licensing,,x,,,x,,NA,free,,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,sphinx,https://www.sphinx-doc.org/en/master/,Create documentation for packages,,Documentation,,,x,x,x,x,,python,,BSD-2-Clause,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Doxygen,https://www.doxygen.nl,automate documentation,x,Documentation,,,x,x,,,,"C++, C, Python, PHP, Java, C#, Objective-C, Fortran, VHDL, Splice, IDL, Lex",free,GPL-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Javadoc,https://www.oracle.com/java/technologies/javase/javadoc-tool.html,automate documentation for Java code,x,Documentation,,,x,x,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Hugo,https://gohugo.io,static website generation based on Go,x,Documentation,,,x,x,,,,,free,Apache-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Pelican,https://getpelican.com,static website generation based on Python,x,Documentation,,,x,x,,,,,free,AGPL-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,GitLab Pages,https://docs.gitlab.com/ee/user/project/pages/,publish static websites directly from GitLab repository,x,Documentation,,,x,x,,,,,free,,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,GitHub Pages,https://pages.github.com,publish static websites directly from GitHub repository,x,Documentation,,,x,x,,,,,freemium,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,github,https://github.com/,Development platform,,"Documentation, Community, Code analysis, Security, Maintainability",,x,x,x,,,x,,freemium,,"ESCAPE, SSHOC, PANOSC, ENVRI-FAIR, EOSC-Life",,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,GitHub Actions,https://github.com/features/actions,"Integration, Delivery and Deployment",,"Security, Code analysis, Functionnal sustainability, Long-term usability",,,x,x,,,x,,freemium,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,Zenodo,https://zenodo.org/,"Open repository for EU-funded research outputs from Horizon Europe, Euratom, and earlier Framework Programmes.",x,,,x,x,x,,,x,,free,,"ESCAPE, SSHOC, PANOSC, ENVRI-FAIR, EOSC-Life",,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Bajare,gitlab,https://gitlab.com/,Version control and coding platform,,"Documentation, Community, Code analysis, Security, Maintainability",,,,,,,,,paid,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Bajare,gitlab CI-CD,https://docs.gitlab.com/ee/ci/pipelines/,"Integration, Delivery and Deployment",,"Security, Code analysis, Functionnal sustainability, Long-term usability",,,,,,,,,paid,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Bandit,https://github.com/PyCQA/bandit,Bandit is a tool designed to find common security issues in Python code.,,Security,,x,x,x,x,x,,Python,free,Apache-2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Bearer,https://github.com/bearer/bearer,"Bearer CLI is a static application security testing (SAST) tool that scans your source code and analyzes your data flows to discover, filter and prioritize security and privacy risks.",,Security,,x,x,x,x,x,,"JavaScript/TypeScript, Ruby, PHP, Java, Go, Python",free,Elastic License 2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Fair Python Cookiecutter,https://github.com/Materials-Data-Science-and-Informatics/fair-python-cookiecutter,An opinionated cookiecutter template to kickstart a modern best-practice Python project with FAIR metadata.,x,"Documentation, Long-term usability",,x,x,x,x,,,Python,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,HERMES Workflow,https://docs.software-metadata.pub/en/latest/,The HERMES workflow enables automated publication of rich research software metadata and artifacts to publication repositories using open source tooling.,x,Documentation,,x,x,x,x,x,,*,free,Apache-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,CFFINIT Generator,https://citation-file-format.github.io/cff-initializer-javascript/#/,Generate software citation metadata files with ease. CITATION.cff files are plain text files with human- and machine-readable citation information for software (and datasets).,x,Documentation,,x,x,x,,,x,*,free,Apache-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,CodeMeta Generator,https://codemeta.github.io/codemeta-generator/,Generate useful CodeMeta documents for your software.,,Documentation,,x,x,x,,,x,*,free,AGPL-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,SOMEF,https://github.com/KnowledgeCaptureAndDiscovery/somef,Software Metadata Extraction Framework. A command line interface for automatically extracting relevant information from readme files.,x,Documentation,,x,x,x,x,,,*,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,CodeClimate CLI,https://github.com/codeclimate/codeclimate,Analyze your source code’s quality and complexity using Code Climate engines.,,"Security, Code analysis",,x,x,x,x,x,,https://docs.codeclimate.com/docs/supported-languages-for-maintainability,free (freemium),AGPL-3.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,SQAaaS,https://sqaaas.eosc-synergy.eu/,Software Quality Assessment as a Service. The Quality Assessment & Awarding building block analyses the level of completeness with the FAIR4RS reference criteria for any given release of your software.,x,"Documentation, Code analysis",,x,x,x,x,x,,,free,GPL-3.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Tobias Huste,Playwright,https://playwright.dev/docs,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API.",,"Long-term usability, Code analysis",,x,x,x,x,x,,Browser-based,free,Apache-2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
